,iso_code,continent,country,count_date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,animal_products,animal_fats,aquatic_products,cereals_excluding_beer,eggs,seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_and_sweeteners,sugar_crops,treenuts,vegetable_oils,vegetables,vegetal_products,obesity,undernourished,confirmed,deaths,recovered,active,population
10,BHS,North America,Bahamas,2021-05-12,10966.0,58.0,215.0,27885.711,546.729,393248,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,11.4718,0.0062,0.0009,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0.0,0.0495,0.511,7.7649,38.5229,32.1,0.0,2.100763359,0.044783715,1.735114504,0.32086514,393000
11,BGD,Asia,Bangladesh,2021-05-12,777397.0,1140.0,12045.0,4720.383,73.138,164689383,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632,5.1926,0.0156,0.0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,3.4,14.7,0.316691106,0.004823066,0.284343586,0.027524454,169809000
12,BRB,North America,Barbados,2021-05-12,3957.0,7.0,46.0,13769.657,160.072,287371,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814,12.4976,0.2212,0.0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0.0,0.0852,0.8677,5.4725,37.5167,24.8,3.9,0.583972125,0.006271777,0.470034843,0.107665505,287000
13,BLR,Europe,Belarus,2021-05-12,371405.0,896.0,2661.0,39304.941,281.608,9449321,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0,74.79,0.823,12.7089,0.3353,0.0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0.0,0.1399,0.8804,8.7859,37.2904,26.6,2.5,2.740896,0.018912,2.612704,0.10928,9375000
14,BEL,Europe,Belgium,2021-05-12,1023583.0,3251.0,24630.0,88318.975,2125.178,11589616,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.931,17.7279,0.8559,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0.0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0.0,0.1309,0.564,6.8161,32.2637,24.5,2.5,6.286322188,0.185427703,0.0,6.100894485,11515000
15,BLZ,North America,Belize,2021-05-12,12707.0,3.0,323.0,31957.568,812.331,397621,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3,74.62,0.716,8.6856,0.0832,0.0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0.0,0.034,1.0198,4.7721,41.3122,22.4,7.5,2.872792363,0.073031026,2.739618138,0.060143198,419000
16,BEN,Africa,Benin,2021-05-12,7995.0,0.0,101.0,659.479,8.331,12123198,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,3.7504,0.0132,0.0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0.0,0.4028,0.7381,4.1964,46.2493,8.2,10.1,0.034343517,0.000450487,0.029183389,0.00470964,12209000
17,BOL,South America,Bolivia,2021-05-12,322578.0,2369.0,13308.0,27634.473,1140.064,11673029,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1,71.51,0.718,11.7799,0.0889,0.0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0.0,0.7084,0.3573,3.2224,38.2165,18.7,17.1,1.952445629,0.092435313,1.438614287,0.421396029,11633000
18,BIH,Europe,Bosnia and Herzegovina,2021-05-12,201796.0,284.0,8943.0,61507.888,2725.847,3280815,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,12.4319,0.0585,0.0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0.0,0.0822,0.4205,11.6394,37.5645,19.4,2.5,3.76208473,0.145534898,2.960316977,0.656232856,3281000
19,BWA,Africa,Botswana,2021-05-12,49041.0,0.0,751.0,20854.09,319.354,2351625,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8,69.59,0.735,14.4486,0.3402,0.0,11.432,0.1402,0.3551,2.8465,2.284,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,0.0009,0.015,1.0065,4.0558,35.5491,16.1,26.4,1.014372033,0.007034959,0.844799309,0.162537764,2317000
20,BRA,South America,Brazil,2021-05-12,15359397.0,76692.0,428034.0,72259.314,2013.715,212559409,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2,75.88,0.765,17.347,0.2803,0.0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,0.0006,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,22.3,2.5,4.460165146,0.108602912,3.979468585,0.372093649,211812000
21,BGR,Europe,Bulgaria,2021-05-12,412814.0,657.0,17150.0,59410.991,2468.178,6948445,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,17.2483,0.2488,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0.0,0.0797,0.7085,6.2037,32.7435,27.4,3.6,3.227255666,0.134416053,2.788956258,0.303883355,6927000
22,BFA,Africa,Burkina Faso,2021-05-12,13387.0,3.0,164.0,640.426,7.846,20903278,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,4.6611,0.0231,0.0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0.0,0.0712,0.9503,1.5036,45.3359,4.5,20.0,0.053709994,0.000641056,0.048031383,0.005037554,20903000
23,CPV,Africa,Cabo Verde,2021-05-12,27029.0,320.0,238.0,48614.359,428.067,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,9.7559,0.0363,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0.0,0.0258,0.9471,6.6338,40.2437,10.6,12.6,2.586330935,0.024280576,2.461151079,0.100899281,556000
24,KHM,Asia,Cambodia,2021-05-12,20695.0,472.0,136.0,1237.815,8.134,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,6.08,0.0377,0.0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,16.4,0.003058657,0.0,0.002929599,0.000129057,15497000
25,CMR,Africa,Cameroon,2021-05-12,74946.0,0.0,1152.0,2823.265,43.397,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,2.933,0.0146,0.0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0.0,0.1324,0.6398,8.859,47.067,9.5,9.9,0.118031431,0.001782089,0.110914354,0.005334988,26598000
26,CAN,North America,Canada,2021-05-12,1314420.0,6557.0,24755.0,34826.308,655.898,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,16.0365,0.8084,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0.0,0.1439,1.3441,5.4961,33.9551,31.3,2.5,2.109960723,0.054202671,1.909848128,0.0,38190000
27,CAF,Africa,Central African Republic,2021-05-12,6866.0,192.0,95.0,1421.602,19.67,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,6.9032,0.1228,0.0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0.0,0.0,0.724,1.9214,43.0942,6.3,59.6,0.103291925,0.001304348,0.101138716,0.000848861,4830000
28,TCD,Africa,Chad,2021-05-12,4891.0,3.0,172.0,297.762,10.471,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,12.2804,0.2023,0.0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0.0,6.991,0.0087,1.3449,0.0,0.0,0.4556,0.9141,37.7189,4.8,37.5,0.020578302,0.000740653,0.016880962,0.002956687,16877000
29,CHL,South America,Chile,2021-05-12,1260448.0,3902.0,27384.0,65936.086,1432.502,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,15.0394,0.1782,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0.0,0.119,0.5435,5.3092,34.9584,28.8,2.7,3.84222907,0.097046739,3.626194145,0.0,19470000
30,CHN,Asia,China,2021-05-12,102671.0,11.0,4846.0,71.333,3.367,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,13.424,0.0866,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,8.5,0.007155524,0.000343843,0.006685183,0.000126499,1402385000
31,COL,South America,Colombia,2021-05-12,3048719.0,16993.0,79261.0,59916.395,1557.714,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,12.821,0.0814,0.0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,22.1,4.8,4.350794839,0.112638541,4.090144406,0.148011892,49444000
32,COG,Africa,Congo,2021-05-12,11343.0,0.0,148.0,2055.602,26.821,5518092,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,6.1258,0.0122,0.0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0.0,0.0016,0.67,2.552,43.8709,8.4,40.3,0.57167452,0.014516129,0.379720913,0.177437477,5518000
33,CRI,North America,Costa Rica,2021-05-12,276887.0,3173.0,3482.0,54354.3,683.534,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,18.677,0.1529,0.0007,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0.0,0.0397,1.4363,2.9837,31.3238,25.7,4.8,3.843435727,0.052279397,3.055781647,0.735374682,5111000
34,CIV,Africa,Cote d'Ivoire,2021-05-12,46516.0,32.0,292.0,1763.421,11.07,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,2.9144,0.0132,0.0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308,0.0759,0.7859,0.0,0.5443,0.8656,2.8098,47.0806,9.0,19.0,0.11295893,0.000618911,0.106105062,0.006234957,26175000
35,HRV,Europe,Croatia,2021-05-12,347094.0,1471.0,7589.0,84548.439,1848.6,4105268,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,17.311,0.2296,0.0005,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0.0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0.0,0.0761,0.3808,12.5188,32.6838,27.1,2.5,5.848905473,0.127960199,5.648706468,0.072238806,4020000
36,CUB,North America,Cuba,2021-05-12,119375.0,1207.0,768.0,10539.335,67.805,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,10.0096,0.1202,0.0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0.0,0.0006,0.4535,8.374,39.9895,26.7,2.5,0.283760305,0.00206542,0.230821736,0.05087315,11281000
37,CYP,Europe,Cyprus,2021-05-12,70358.0,260.0,341.0,80326.613,389.314,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,16.1736,0.0277,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0.0,0.1781,1.1937,7.3888,33.8191,22.6,5.6,2.621706711,0.017481359,0.170422535,2.433802817,1207000
38,CZE,Europe,Czechia,2021-05-12,1648667.0,1686.0,29787.0,153951.795,2781.497,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,17.8065,0.8945,0.0006,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0.0,0.0477,0.9854,4.5289,32.1944,28.5,2.5,9.612840612,0.159845091,8.555328481,0.89766704,10716000
39,DNK,Europe,Denmark,2021-05-12,262859.0,1246.0,2500.0,45381.524,431.615,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,23.2141,1.2415,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0.0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0.0,0.1138,0.0915,5.2431,26.7812,21.3,2.5,3.463218391,0.038016812,3.307359753,0.117841825,5829000
40,DJI,Africa,Djibouti,2021-05-12,11389.0,20.0,151.0,11527.305,152.834,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,5.5215,0.0579,0.0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0.0,0.0406,1.6153,9.7637,44.4582,12.2,18.9,0.601315789,0.006376518,0.592307692,0.002631579,988000
41,DMA,North America,Dominica,2021-05-12,175.0,0.0,,2430.859,,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,8.9011,0.0319,0.0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0.0,0.0035,0.3797,4.6371,41.0989,28.2,6.2,0.168055556,0.0,0.152777778,0.015277778,72000
42,DOM,North America,Dominican Republic,2021-05-12,273497.0,688.0,3554.0,25211.967,327.621,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11.2417,0.1122,0.0006,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0.0,0.0108,1.2948,2.7385,38.7577,26.9,9.5,2.115695238,0.02667619,1.577704762,0.511314286,10500000
43,ECU,South America,Ecuador,2021-05-12,404632.0,2037.0,19349.0,22934.344,1096.692,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,15.3469,0.1277,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0.0,0.016,1.3777,2.4981,34.6522,19.3,7.9,1.468305636,0.085683285,1.198183999,0.184438353,17511000
44,EGY,Africa,Egypt,2021-05-12,240927.0,1187.0,14091.0,2354.311,137.696,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,6.7374,0.0896,0.0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,31.1,4.5,0.167758896,0.009527494,0.131002054,0.027229348,100803000
45,SLV,North America,El Salvador,2021-05-12,70915.0,535.0,2168.0,10933.21,334.248,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,12.888,0.1113,0.0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0.0,0.0155,0.4565,7.2703,37.1029,22.7,9.0,0.867721031,0.025813918,0.77813609,0.063771023,6481000
46,EST,Europe,Estonia,2021-05-12,126064.0,368.0,1210.0,95032.261,912.148,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,22.3154,0.4556,0.0005,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0.0,0.0886,0.3472,4.9558,27.6779,23.8,2.9,3.569646882,0.034259955,2.828549962,0.706836965,1331000
47,SWZ,Africa,Eswatini,2021-05-12,18492.0,5.0,671.0,15939.126,578.367,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,7.4118,0.1024,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0.0,0.0892,0.3258,2.5701,42.5816,13.5,20.6,1.46567029,0.054710145,1.038858696,0.372101449,1104000
48,ETH,Africa,Ethiopia,2021-05-12,264367.0,695.0,3938.0,2299.572,34.254,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,5.2956,0.0276,0.0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0.0,0.0802,0.4699,1.8449,44.6989,3.6,20.6,0.12309252,0.001866581,0.109237182,0.011988757,114916000
49,FJI,Oceania,Fiji,2021-05-12,161.0,9.0,3.0,179.599,3.347,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,7.8511,0.2922,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0.0,0.0157,0.8683,3.9255,42.1469,30.0,3.7,0.00625,0.000223214,0.005915179,0.000111607,896000
50,FIN,Europe,Finland,2021-05-12,89270.0,280.0,930.0,16111.63,167.848,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,26.8865,0.519,0.0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0.0,0.046,0.2468,3.8325,23.1132,24.9,2.5,0.854801953,0.01244348,0.560680051,0.281678423,5529000
51,FRA,Europe,France,2021-05-12,5882882.0,21498.0,107280.0,87070.927,1587.822,67564251,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,21.7097,0.7907,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0.0,0.2093,0.8675,5.1223,28.2903,23.2,2.5,5.199054512,0.121558362,0.367876501,4.709619649,64940000
52,PYF,Oceania,French Polynesia,2021-05-11,,,,,,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,14.3585,0.0309,0.0169,7.6479,0.5386,3.4809,4.3512,7.0798,2.9364,3.2613,0.2748,3.1818,0.1452,0.0111,3.5436,0.126,2.8715,0.6809,0.0405,0.9675,4.0992,35.6559,0.0,4.2,0.0,0.0,0.0,0.0,280000
53,GAB,Africa,Gabon,2021-05-12,23734.0,169.0,143.0,10663.477,64.249,2225728,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,8.1825,0.0109,0.0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,13.4,10.5,0.513536531,0.003182429,0.483953384,0.026400717,2231000
