,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
13852,KHM,Asia,Cambodia,2021-05-12,20695,472,136,1237.815,8.134,,16718971,90.672,25.6,4.412,2.385,3645.07,,270.892,4,2,33.7,66.229,0.8,69.82,0.594
14285,CMR,Africa,Cameroon,2021-05-12,74946,0,1152,2823.265,43.397,,26545864,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563
14758,CAN,North America,Canada,2021-05-12,1314420,6557,24755,34826.308,655.898,,37742157,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12,16.6,,2.5,82.43,0.929
15177,CPV,Africa,Cape Verde,2021-05-12,27029,320,238,48614.359,428.067,,555988,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
15310,CYM,North America,Cayman Islands,2021-05-07,,,,,,,65720,256.496,,,,49903.029,,,13.22,,,,,83.92,
15734,CAF,Africa,Central African Republic,2021-05-12,6866,192,95,1421.602,19.67,,4829764,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1,53.28,0.397
16154,TCD,Africa,Chad,2021-05-12,4891,3,172,297.762,10.471,,16425859,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398
16599,CHL,South America,Chile,2021-05-12,1260448,3902,27384,65936.086,1432.502,,19116209,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
17076,CHN,Asia,China,2021-05-12,102671,11,4846,71.333,3.367,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
17509,COL,South America,Colombia,2021-05-12,3048719,16993,79261,59916.395,1557.714,,50882884,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
17887,COM,Africa,Comoros,2021-05-12,3860,0,146,4438.848,167.894,,869595,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
18311,COG,Africa,Congo,2021-05-12,11343,0,148,2055.602,26.821,,5518092,15.405,19,3.402,2.063,4881.406,37,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
18744,CRI,North America,Costa Rica,2021-05-12,276887,3173,3482,54354.3,683.534,,5094114,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
19172,CIV,Africa,Cote d'Ivoire,2021-05-12,46516,32,292,1763.421,11.07,,26378275,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538
19615,HRV,Europe,Croatia,2021-05-12,347094,1471,7589,84548.439,1848.6,,4105268,73.726,44,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851
20042,CUB,North America,Cuba,2021-05-12,119375,1207,768,10539.335,67.805,,11326616,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783
20086,CUW,North America,Curacao,2021-05-11,,,,,,,164100,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,
20518,CYP,Europe,Cyprus,2021-05-12,70358,260,341,80326.613,389.314,,875899,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887
20956,CZE,Europe,Czechia,2021-05-12,1648667,1686,29787,153951.795,2781.497,,10708982,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9
21384,COD,Africa,Congo,2021-05-12,30429,37,775,339.756,8.653,,89561404,35.879,17,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48
21850,DNK,Europe,Denmark,2021-05-12,262859,1246,2500,45381.524,431.615,,5792203,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94
22271,DJI,Africa,Djibouti,2021-05-12,11389,20,151,11527.305,152.834,,988002,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524
22688,DMA,North America,Dominica,2021-05-12,175,0,,2430.859,,,71991,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75,0.742
23126,DOM,North America,Dominican Republic,2021-05-12,273497,688,3554,25211.967,327.621,,10847904,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756
23564,ECU,South America,Ecuador,2021-05-12,404632,2037,19349,22934.344,1096.692,,17643060,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2,12.3,80.635,1.5,77.01,0.759
24018,EGY,Africa,Egypt,2021-05-12,240927,1187,14091,2354.311,137.696,,102334403,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707
24438,SLV,North America,El Salvador,2021-05-12,70915,535,2168,10933.21,334.248,,6486201,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673
24862,GNQ,Africa,Guinea,2021-05-12,7694,0,112,5484.022,79.83,,1402985,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592
25280,ERI,Africa,Eritrea,2021-05-12,3822,4,12,1077.704,3.384,,3546427,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459
25743,EST,Europe,Estonia,2021-05-12,126064,368,1210,95032.261,912.148,,1326539,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892
26168,SWZ,Africa,Eswatini,2021-05-12,18492,5,671,15939.126,578.367,,1160164,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611
26594,ETH,Africa,Ethiopia,2021-05-12,264367,695,3938,2299.572,34.254,,114963583,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485
27070,OWID_EUR,,Europe,2021-05-12,46046017,98176,1044424,61502.929,1395.02,,748680069,,,,,,,,,,,,,,
27546,OWID_EUN,,European Union,2021-05-12,31707490,78203,707830,71265.749,1590.919,,444919060,,,,,,,,,,,,,,
27649,FRO,Europe,Faeroe Islands,2021-05-11,,,,,,,48865,35.308,,,,,,,,,,,,80.67,
27716,FLK,South America,Falkland Islands,2021-04-14,,,,,,,3483,,,,,,,,,,,,,81.44,
28185,FJI,Oceania,Fiji,2021-05-12,161,9,3,179.599,3.347,,896444,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743
28655,FIN,Europe,Finland,2021-05-12,89270,280,930,16111.63,167.848,,5540718,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938
