,iso_code,continent,Country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
57057,NIC,North America,Nicaragua,2021-05-12,7086,0,184,1069.657,27.775,,6624554,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66
57476,NER,Africa,Niger,2021-05-12,5325,1,192,219.981,7.932,,24206636,16.955,15.1,2.553,1.378,926,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
57916,NGA,Africa,Nigeria,2021-05-12,165559,44,2066,803.14,10.022,,206139587,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539
58393,OWID_NAM,,North America,2021-05-12,38188150,54475,860163,64499.143,1452.801,,592072204,,,,,,,,,,,,,,
58835,MKD,Europe,North Macedonia,2021-05-12,154372,150,5151,74096.9,2472.425,,2083380,82.6,39.1,13.26,8.16,13111.214,5,322.688,10.08,,,,4.28,75.8,0.774
58953,OWID_CYN,Asia,Northern Cyprus,2021-05-11,,,,,,,,,,,,,,,,,,,,,
59396,NOR,Europe,Norway,2021-05-12,117995,500,774,21765.308,142.772,,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957
59870,OWID_OCE,,Oceania,2021-05-12,45789,523,1070,1072.9,25.072,,42677809,,,,,,,,,,,,,,
60314,OMN,Asia,Oman,2021-05-12,202713,0,2148,39696.104,420.63,,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
60757,PAK,Asia,Pakistan,2021-05-12,870703,3265,19336,3941.753,87.536,,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
61191,PSE,Asia,Palestine,2021-05-12,303270,493,3401,59448.2,666.678,,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,74.05,0.708
61621,PAN,North America,Panama,2021-05-12,368930,562,6285,85504.018,1456.625,,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815
62040,PNG,Oceania,Papua New Guinea,2021-05-12,12997,504,130,1452.661,14.53,,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555
62472,PRY,South America,Paraguay,2021-05-12,304889,2828,7358,42746.263,1031.612,,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,74.25,0.728
62965,PER,South America,Peru,2021-05-12,1865639,12269,64898,56582.789,1968.285,,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777
63434,PHL,Asia,Philippines,2021-05-12,1118359,4812,18714,10205.767,170.778,,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,71.23,0.718
63869,POL,Europe,Poland,2021-05-12,2842339,4159,70679,75101.558,1867.512,,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88
64311,PRT,Europe,Portugal,2021-05-12,840493,485,16998,82427.886,1667.009,,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,82.05,0.864
64750,QAT,Asia,Qatar,2021-05-12,212124,392,519,73627.068,180.142,,2881060,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848
65192,ROU,Europe,Romania,2021-05-12,1068817,930,29233,55558.513,1519.57,,19237682,85.129,43,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828
65660,RUS,Europe,Russia,2021-05-12,4849044,8096,112410,33227.546,770.277,,145934460,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824
66085,RWA,Africa,Rwanda,2021-05-12,25846,73,340,1995.49,26.25,,12952209,494.869,20.3,2.974,1.642,1854.211,56,191.375,4.28,4.7,21,4.617,,69.02,0.543
66151,SHN,Africa,Saint Helena,2021-04-09,,,,,,,6071,,,,,,,,,,,,,80.56,
66565,KNA,North America,Saint Kitts and Nevis,2021-05-12,45,0,,845.992,,,53192,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779
66990,LCA,North America,Saint Lucia,2021-05-12,4725,25,75,25731.23,408.432,,183629,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759
67415,VCT,North America,Saint Vincent and the Grenadines,2021-05-12,1926,4,12,17359.64,108.16,,110947,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738
67591,WSM,Oceania,Samoa,2021-05-12,3,0,,15.12,,,198410,69.413,22,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715
68032,SMR,Europe,San Marino,2021-05-12,5083,0,90,149773.116,2651.895,,33938,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,
68434,STP,Africa,Sao Tome and Principe,2021-05-12,2320,0,35,10585.825,159.7,,219161,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625
68871,SAU,Asia,Saudi Arabia,2021-05-12,429389,1020,7111,12333.85,204.258,,34813867,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854
69311,SEN,Africa,Senegal,2021-05-12,40762,33,1121,2434.434,66.95,,16743930,82.328,18.7,3.008,1.796,2470.58,38,241.219,2.42,0.4,16.6,20.859,,67.94,0.512
69753,SRB,Europe,Serbia,2021-05-12,703497,1046,6611,103385.565,971.549,,6804596,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76,0.806
70178,SYC,Africa,Seychelles,2021-05-12,8172,0,28,83099.451,284.726,,98340,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796
70586,SLE,Africa,Sierra Leone,2021-05-12,4089,0,79,512.6,9.903,,7976985,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452
71062,SGP,Asia,Singapore,2021-05-12,61419,16,31,10498.359,5.299,,5850343,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938
71495,SVK,Europe,Slovakia,2021-05-12,386540,404,12096,70799.501,2215.529,,5459643,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86
71961,SVN,Europe,Slovenia,2021-05-12,247449,724,4304,119026.981,2070.294,,2078932,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25,,4.5,81.32,0.917
72174,SLB,Oceania,Solomon Islands,2021-05-12,20,0,,29.117,,,686878,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73,0.567
72597,SOM,Africa,Somalia,2021-05-12,14486,0,753,911.458,47.379,,15893219,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,
73058,ZAF,Africa,South Africa,2021-05-12,1602031,2759,54968,27011.741,926.812,,59308690,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709
73504,OWID_SAM,,South America,2021-05-12,26247010,144901,714539,60931.897,1658.788,,430759772,,,,,,,,,,,,,,
73982,KOR,Asia,South Korea,2021-05-12,129633,715,1891,2528.478,36.884,,51269183,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916
74385,SSD,Africa,South Sudan,2021-05-12,10641,0,115,950.622,10.274,,11193729,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433
74852,ESP,Europe,Spain,2021-05-12,3592751,6418,79208,76842.427,1694.115,,46754783,93.105,45.5,19.436,13.799,34272.36,1,99.403,7.17,27.4,31.4,,2.97,83.56,0.904
75324,LKA,Asia,Sri Lanka,2021-05-12,133527,2429,850,6235.719,39.695,,21413250,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27,,3.6,76.98,0.782
75751,SDN,Africa,Sudan,2021-05-12,34889,0,2446,795.658,55.782,,43849269,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51
76176,SUR,South America,Suriname,2021-05-12,11427,121,220,19478.926,375.021,,586634,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738
76643,SWE,Europe,Sweden,2021-05-12,1027934,6330,14267,101783,1412.676,,10099270,24.718,41,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945
77086,CHE,Europe,Switzerland,2021-05-12,677210,1539,10725,78248.399,1239.223,,8654618,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955
77503,SYR,Asia,Syria,2021-05-12,23543,53,1676,1345.264,95.768,,17500657,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567
77986,TWN,Asia,Taiwan,2021-05-12,1231,21,12,51.686,0.504,,23816775,,42.2,,8.353,,,103.957,,,,,,80.46,
78364,TJK,Asia,Tajikistan,2021-05-12,13308,0,90,1395.313,9.436,,9537642,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668
78787,TZA,Africa,Tanzania,2021-05-12,509,0,21,8.521,0.352,,59734213,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529
79282,THA,Asia,Thailand,2021-05-12,88907,1983,486,1273.74,6.963,,69799978,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777
79699,TLS,Asia,Timor,2021-05-12,3626,133,5,2750.216,3.792,,1318442,87.176,18,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606
80134,TGO,Africa,Togo,2021-05-12,13210,43,125,1595.654,15.099,,8278737,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515
80156,TON,Oceania,Tonga,2021-05-11,,,,,,,105697,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725
80581,TTO,North America,Trinidad and Tobago,2021-05-12,14417,615,235,10301.603,167.918,,1399491,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3,73.51,0.796
81016,TUN,Africa,Tunisia,2021-05-12,324103,1105,11637,27423.088,984.633,,11818618,74.228,32.7,8.001,5.075,10849.297,2,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74
81444,TUR,Asia,Turkey,2021-05-12,5072462,13029,43821,60143.682,519.581,,84339067,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82
81536,TCA,North America,Turks and Caicos Islands,2021-04-11,,,,,,,38718,37.312,,,,,,,,,,,,80.22,
81537,TUV,Oceania,Tuvalu,2021-04-27,,,,,,,11792,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,
81955,UGA,Africa,Uganda,2021-05-12,42487,60,346,928.86,7.564,,45741000,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544
82391,UKR,Europe,Ukraine,2021-05-12,2185088,4659,48908,49963.416,1118.312,,43733759,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779
82861,ARE,Asia,United Arab Emirates,2021-05-12,540646,1508,1619,54663.714,163.694,,9890400,112.442,34,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89
83329,GBR,Europe,United Kingdom,2021-05-12,4457742,2296,127901,65665.111,1884.056,,67886004,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20,24.7,,2.54,81.32,0.932
83806,USA,North America,United States of America,2021-05-12,32814415,35509,583684,99136.413,1763.382,,331002647,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926
84232,URY,South America,Uruguay,2021-05-12,228102,2255,3252,65664.918,936.17,,3473727,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14,19.9,,2.8,77.91,0.817
84656,UZB,Asia,Uzbekistan,2021-05-12,95467,395,666,2852.384,19.899,,33469199,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4,71.72,0.72
84840,VUT,Oceania,Vanuatu,2021-05-12,4,0,1,13.023,3.256,,307150,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609
85273,VAT,Europe,Vatican,2021-05-12,27,0,,33374.536,,,809,,,,,,,,,,,,,75.12,
85698,VEN,South America,Venezuela,2021-05-12,210948,832,2337,7418.358,82.185,,28435943,36.253,29,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711
86174,VNM,Asia,Vietnam,2021-05-12,3658,87,35,37.58,0.36,,97338583,308.127,32.6,7.15,4.718,6171.884,2,245.465,6,1,45.9,85.847,2.6,75.4,0.704
86224,WLF,Oceania,Wallis and Futuna,2021-05-11,,,,,,,11246,,,,,,,,,,,,,79.94,
86701,OWID_WRL,,World,2021-05-12,160450504,759730,3331258,20584.304,427.369,,7794798729,58.045,30.9,8.696,5.355,15469.207,10,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737
87099,YEM,Asia,Yemen,2021-05-12,6498,6,1277,217.864,42.815,,29825968,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47
87520,ZMB,Africa,Zambia,2021-05-12,92211,59,1259,5015.841,68.484,,18383956,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2,63.89,0.584
87939,ZWE,Africa,Zimbabwe,2021-05-12,38466,18,1579,2588.05,106.237,,14862927,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571
